page_url,page_teams
https://arts.ucalgary.ca/department-template/contact,ARTS - 1
https://arts.ucalgary.ca/department-template/future-students/undergraduate/programs/sample-program,ARTS - 1
https://arts.ucalgary.ca/department-template/future-students/graduate/programs/sample-program,ARTS - 1
https://arts.ucalgary.ca/english/about/alumni,ENGL - 13
https://arts.ucalgary.ca/anthropology-archaeology/future-students/undergraduate/programs/social-and-cultural-anthropology,ANTH - 20
https://arts.ucalgary.ca/anthropology-archaeology/future-students/undergraduate/programs/biological-anthropology,ANTH - 20
https://arts.ucalgary.ca/anthropology-archaeology/future-students/undergraduate/programs/archaeology,ANTH - 20
https://arts.ucalgary.ca/anthropology-archaeology/future-students/undergraduate/programs/development-studies,ANTH - 20
https://arts.ucalgary.ca/art-art-history/about/alumni,ART & ART HIST - 36
https://arts.ucalgary.ca/communication-media-film/future-students/undergraduate/programs/communication-and-media-studies,CMF - 21
https://arts.ucalgary.ca/communication-media-film/future-students/undergraduate/programs/film-studies,CMF - 21
https://arts.ucalgary.ca/anthropology-archaeology/future-students/undergraduate/field-schools,ANTH - 20
https://arts.ucalgary.ca/anthropology-archaeology/future-students/graduate/programs/anthropology,ANTH - 20
https://arts.ucalgary.ca/anthropology-archaeology/future-students/graduate/programs/archaeology,ANTH - 20
https://arts.ucalgary.ca/anthropology-archaeology/future-students/graduate/programs/biological-anthropology,ANTH - 20
https://arts.ucalgary.ca/english/research/tia-house,Research - 18
https://arts.ucalgary.ca/english/future-students/graduate/free-exchange-graduate-conference,ARTS - 1
https://arts.ucalgary.ca/art-art-history/future-students/graduate/master-fine-arts,ART & ART HIST - 36
https://arts.ucalgary.ca/anthropology-archaeology/future-students/graduate/anthropology-phd-candidacy-policy,ANTH - 20
https://arts.ucalgary.ca/anthropology-archaeology/future-students/graduate/archaeology-phd-candidacy-policy,ANTH - 20
https://arts.ucalgary.ca/english/future-students/graduate/how-apply,ARTS - 1
https://arts.ucalgary.ca/anthropology-archaeology/about/community-engagement/public-archaeology-program/artifacts,ANTH - 20
https://arts.ucalgary.ca/art-art-history/research/selected-works/faculty,ART & ART HIST - 36
https://arts.ucalgary.ca/communication-media-film/future-students/graduate/programs/master-arts-ma,CMF - 21
https://arts.ucalgary.ca/communication-media-film/future-students/graduate/programs/doctor-philosophy-phd,CMF - 21
https://arts.ucalgary.ca/communication-media-film/future-students/graduate/referee-requirements,CMF - 21
