environment	page node id	link	url location	page title	drupal content type	publish status	page content age	total views	status codes	path depth	team count	team ids	team names	block teams count	block team ids	block teams	total node count	reusable block count	# blocks with no team	blocks with team matching page	blocks with team not matching page	percent blocks no team	percent blocks page team match	block types	block type details	reusable block types
arts	1456227	link	https://arts.ucalgary.ca/node/1456227	Layout Test _ DO NOT PUBLISH	Basic page	Unpublished	1.7		403	1	0			1	27	ECON - 27	48		4	0	44	8	0	Accordion|Banner|Divider|Hero CTA|News Feed|Page Filter Tags|Profile List|Text	Accordion (1,2022-09-14) | Banner (1,2023-09-26) | Divider (14,2023-07-10) | Hero CTA (1,2023-02-16) | News Feed (1,2024-04-22) | Page Filter Tags (1,2022-11-07) | Profile List (1,2024-03-26) | Text (28,2022-11-09)	
arts	1456231	link	https://arts.ucalgary.ca/creative-performing-arts/news-and-events/school-events/hookman	Hookman	Basic page	Published	2.3	32	200	3	1	26	SCPA - 26	1	26	SCPA - 26	49		1	48	0	2	98	Accordion|Accordion (Minimal)|Banner|Divider|Hero CTA|Image|Text	Accordion (1,2022-10-18) | Accordion (Minimal) (15,2023-09-26) | Banner (1,2023-09-26) | Divider (3,2022-10-19) | Hero CTA (2,2023-02-16) | Image (22,2023-09-26) | Text (5,2022-11-09)	
arts	1456233	link	https://arts.ucalgary.ca/node/1456233	GEOG Home Template	Basic page	Unpublished	0.1	3	403	1	2	1|3	ARTS - 1|GEOG - 3	2	1|3	ARTS - 1|GEOG - 3	22	5	20	0	2	91	0	Banner|Hero CTA|Image|Image with Text|Info Shim|More Information|Related Content|Text	Banner (3,2025-06-16) | Hero CTA (1,2025-06-16) | Image (2,2025-06-06) | Image with Text (1,2025-12-05) | Info Shim (1,2025-06-16) | More Information (4,2025-06-18) | Related Content (3,2025-06-18) | Text (7,2025-06-18)	Image with Text|More Information|Related Content
arts	1456241	link	https://arts.ucalgary.ca/about/office-dean/dean-aoife-macnamara	Dean Aoife MacNamara	Basic page	Published	0.3	1838	200	2	1	1	ARTS - 1	1	1	ARTS - 1	11	3	2	9	0	18	82	Accordion (Minimal)|Divider|Hero CTA|Image|Info Shim|More Information|Streaming Media|Text	Accordion (Minimal) (1,2024-02-13) | Divider (1,2024-02-02) | Hero CTA (1,2023-02-16) | Image (1,2024-09-03) | Info Shim (1,2024-02-06) | More Information (1,2024-02-29) | Streaming Media (1,2025-09-09) | Text (4,2024-02-13)	Info Shim|More Information|Text
arts	1456248	link	https://arts.ucalgary.ca/calgary-institute-humanities/events-and-community/calgary-atlas-project/city-romance-literary-world-1920s-calgary	City of Romance: The Literary World of 1920s Calgary	Basic page	Published	0.1	98	200	3	1	24	CIH - 24	1	24	CIH - 24	9	2	1	8	0	11	89	Accordion|Hero CTA|Image|Image Gallery|Text	Accordion (1,2025-12-10) | Hero CTA (2,2023-02-16) | Image (1,2023-09-26) | Image Gallery (1,2022-12-01) | Text (4,2023-09-26)	Accordion|Text
arts	1456250	link	https://arts.ucalgary.ca/node/1456250	Nikki scratch pad	Basic page	Published	0.3	4	200	1	1	1	ARTS - 1	1	1	ARTS - 1	6	4	3	3	0	50	50	Banner|Hero CTA|Image with Text|More Information|Schedule|Text	Banner (1,2025-01-16) | Hero CTA (1,2023-02-16) | Image with Text (1,2024-04-25) | More Information (1,2024-04-23) | Schedule (1,2025-10-06) | Text (1,2024-05-13)	Banner|Image with Text|More Information|Schedule
arts	1456254	link	https://arts.ucalgary.ca/calgary-institute-humanities/events-and-community/calgary-atlas-project/ring-ding-dong-dandy-map-stampede-wrestling	A Map of Stampede Wrestling	Basic page	Published	2.3	217	200	3	1	24	CIH - 24	1	24	CIH - 24	7	1	1	6	0	14	86	Hero CTA|Image|Image Gallery|Text	Hero CTA (2,2023-02-16) | Image (1,2023-09-26) | Image Gallery (1,2022-12-01) | Text (3,2023-09-26)	Text
arts	1456255	link	https://arts.ucalgary.ca/calgary-institute-humanities/events-and-community/calgary-atlas-project/animals-guide-calgary	The Animals Guide to Calgary	Basic page	Published	2.3	92	200	3	1	24	CIH - 24	1	24	CIH - 24	6	1	1	5	0	17	83	Hero CTA|Image|Text	Hero CTA (2,2023-02-16) | Image (1,2023-09-26) | Text (3,2023-09-26)	Text
arts	1456258	link	https://arts.ucalgary.ca/node/1456258	DO NOT PUBLISH Contact page mockup	Basic page	Unpublished	1.6		403	1	0			39	1|2|3|9|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|29|30|32|33|34|35|36|37|39|41|43|45|47|49|51|53|54|55|56|57	ALMC - 37|ANTH - 20|ART & ART HIST - 36|ARTS - 1|ASC - 14|ASHA - 16|CDWP - 23|CHIN - 39|CIH - 24|CLARE - 2|CMF - 21|CMSS - 25|COOP - 15|ECON - 27|ENGL - 13|FREN - 41|FRENCH CENTRE - 54|GEOG - 3|Geospatial Information Technology|GERM - 43|HIST - 29|IIS - 30|INDL - 45|IT - 19|ITAL - 47|JPNS - 49|LARC - 32|LRC - 55|PHIL - 33|POLI - 9|PSYC - 34|Psychology Clinic|RDC - 17|Research - 18|RUSS - 51|SCPA - 26|SLLLC - 22|SOCI - 35|SPAN - 53	10	4	5	0	5	50	0	Banner|Hero CTA|More Information|Text|Text Grid	Banner (1,2023-09-26) | Hero CTA (1,2023-02-16) | More Information (2,2022-12-12) | Text (4,2022-12-12) | Text Grid (2,2024-06-18)	Banner|More Information|Text Grid
arts	1456263	link	https://arts.ucalgary.ca/calgary-institute-humanities/events-and-community/annual-community-forum/insect-apocalypse-2023	Insect Apocalypse (2023)	Basic page	Published	1.9	25	200	3	1	24	CIH - 24	1	24	CIH - 24	8		1	7	0	12	88	Hero CTA|Streaming Media|Text|Text Grid	Hero CTA (2,2023-02-16) | Streaming Media (1,2024-02-26) | Text (2,2024-02-26) | Text Grid (3,2023-07-10)	
